TEAM_NAME_HOME,GAME_COUNT
Liverpool,9
Man City,7
Bayern,7
Ajax,6
Chelsea,6
Paris,5
Man United,5
Juventus,5
Real Madrid,4
Wolfsburg,4
Shakhtar Donetsk,3
Villarreal,3
Milan,3
Zenit,3
FC Porto,3
Young Boys,3
Atalanta,3
Leipzig,3
Besiktas,2
Lille,2
Sheriff,2
Barcelona,2
Atl�tico de Madrid,2
Inter,2
Sporting CP,2
Club Brugge,2
Sevilla,2
Dortmund,2
Man City ,2
Salzburg,1
Malmo,1
Dynamo Kyiv,1
Benfica,1
Benefics,1
Dynamo Hyiv,1
Benefica,1
Shakhtar Dopetsk,1
Chelesa,1
Malo,1
PAris,1
Salzvurg,1
Liverpool ,0
Beyern,0
null,0
"Salzburg
",0
"Atalanta
",0
Saizburg,0
Sheriff ,0
Laipzig,0
juventus,0
Inter ,0
"Benfica
",0
Villareal,0
Malm�,0
Be?ikta?,0
