STAGE,TEAM_LOST
 Group stage: Matchday 1 ,Chelsea
 Group stage: Matchday 1 ,null
 Group stage: Matchday 1 ,null
 Group stage: Matchday 1 ,null
 Group stage: Matchday 1 ,K�benhavn
 Group stage: Matchday 1 ,null
 Group stage: Matchday 1 ,Juventus
 Group stage: Matchday 1 ,Maccabi Haifa
 Group stage: Matchday 1 ,Rangers
 Group stage: Matchday 1 ,Liverpool
 Group stage: Matchday 1 ,Porto
 Group stage: Matchday 1 ,Bayer Leverkusen
 Group stage: Matchday 1 ,null
 Group stage: Matchday 1 ,Viktoria Plze?
 Group stage: Matchday 1 ,null
 Group stage: Matchday 1 ,Marseille
 Group stage: Matchday 2 ,Ajax
 Group stage: Matchday 2 ,null
 Group stage: Matchday 2 ,Atletico Madrid
 Group stage: Matchday 2 ,null
 Group stage: Matchday 2 ,null
 Group stage: Matchday 2 ,Barcelona
 Group stage: Matchday 2 ,Tottenham Hotspur
 Group stage: Matchday 2 ,null
 Group stage: Matchday 2 ,null
 Group stage: Matchday 2 ,null
 Group stage: Matchday 2 ,null
 Group stage: Matchday 2 ,RB Leipzig
 Group stage: Matchday 2 ,null
 Group stage: Matchday 2 ,null
 Group stage: Matchday 2 ,null
 Group stage: Matchday 2 ,null
 Group stage: Matchday 3 ,null
 Group stage: Matchday 3 ,Rangers
 Group stage: Matchday 3 ,Atletico Madrid
 Group stage: Matchday 3 ,Bayer Leverkusen
 Group stage: Matchday 3 ,Viktoria Plze?
 Group stage: Matchday 3 ,Barcelona
 Group stage: Matchday 3 ,Sporting CP
 Group stage: Matchday 3 ,null
 Group stage: Matchday 3 ,Dinamo Zagreb
 Group stage: Matchday 3 ,AC Milan
 Group stage: Matchday 3 ,Celtic
 Group stage: Matchday 3 ,null
 Group stage: Matchday 3 ,null
 Group stage: Matchday 3 ,K�benhavn
 Group stage: Matchday 3 ,Maccabi Haifa
 Group stage: Matchday 3 ,null
 Group stage: Matchday 4 ,null
 Group stage: Matchday 4 ,null
 Group stage: Matchday 4 ,null
 Group stage: Matchday 4 ,null
 Group stage: Matchday 4 ,null
 Group stage: Matchday 4 ,null
 Group stage: Matchday 4 ,Juventus
 Group stage: Matchday 4 ,null
 Group stage: Matchday 4 ,Ajax
 Group stage: Matchday 4 ,null
 Group stage: Matchday 4 ,null
 Group stage: Matchday 4 ,null
 Group stage: Matchday 4 ,null
 Group stage: Matchday 4 ,null
 Group stage: Matchday 4 ,Eintracht Frankfurt
 Group stage: Matchday 4 ,null
 Group stage: Matchday 5 ,null
 Group stage: Matchday 5 ,null
 Group stage: Matchday 5 ,null
 Group stage: Matchday 5 ,Real Madrid
 Group stage: Matchday 5 ,K�benhavn
 Group stage: Matchday 5 ,null
 Group stage: Matchday 5 ,Juventus
 Group stage: Matchday 5 ,Maccabi Haifa
 Group stage: Matchday 5 ,null
 Group stage: Matchday 5 ,Rangers
 Group stage: Matchday 5 ,null
 Group stage: Matchday 5 ,null
 Group stage: Matchday 5 ,Viktoria Plze?
 Group stage: Matchday 5 ,null
 Group stage: Matchday 5 ,Marseille
 Group stage: Matchday 5 ,null
 Group stage: Matchday 6 ,null
 Group stage: Matchday 6 ,Napoli
 Group stage: Matchday 6 ,Atletico Madrid
 Group stage: Matchday 6 ,null
 Group stage: Matchday 6 ,Internazionale
 Group stage: Matchday 6 ,null
 Group stage: Matchday 6 ,null
 Group stage: Matchday 6 ,null
 Group stage: Matchday 6 ,Salzburg
 Group stage: Matchday 6 ,Dinamo Zagreb
Group stage: Matchday 6 ,Celtic
Group stage: Matchday 6 ,null
Group stage: Matchday 6 ,null
Group stage: Matchday 6 ,Sevilla
Group stage: Matchday 6 ,null
Group stage: Matchday 6 ,null
 Round of 16 first leg ,Chelsea
 Round of 16 first leg ,null
 Round of 16 first leg ,null
 Round of 16 first leg ,Tottenham
 Round of 16 first leg ,FC Porto
 Round of 16 first leg ,null
 Round of 16 first leg ,null
 Round of 16 first leg ,null
",2,5,52%,48%,9,9,5,6,45%,55%,46%,,54%,Anfield
",null
 Round of 16 second leg ,null
 Round of 16 second leg ,Paris Saint-Germain
 Round of 16 second leg ,Dortmund
 Round of 16 second leg ,null
 Round of 16 second leg ,Eintracht Frankfurt
 Round of 16 second leg ,Liverpool
 Round of 16 second leg ,null
 Round of 16 second leg ,Leipzig
 Quarter-finals first leg ,Napoli
 Quarter-finals first leg ,Chelsea
 Quarter-finals first leg ,null
 Quarter-finals first leg ,null
 Quarter-finals second leg ,null
 Quarter-finals second leg ,null
 Quarter-finals second leg ,null
 Quarter-finals second leg ,null
 Semi-finals first leg ,null
 Semi-finals first leg ,null
 Semi-finals second leg ,Real Madrid
 Semi-finals second leg ,Milan
 Final ,Inter
